Item Code,CPC Code,Item
809,'01929.07,Abaca; manila hemp; raw
800,'01929.06,Agave fibres; raw; n.e.c.
2051,'F2051,Agriculture
221,'01371,Almonds; in shell
711,'01654,Anise; badian; coriander; cumin; caraway; fennel and juniper berries; raw
515,'01341,Apples
526,'01343,Apricots
226,'01379.01,Areca nuts
366,'01216,Artichokes
367,'01211,Asparagus
572,'01311,Avocados
839,'03211,Balata; gutta-percha; guayule; chicle and similar natural gums in primary forms or in plates; sheets or strip
203,'01708,Bambara beans; dry
486,'01312,Bananas
44,'0115,Barley
176,'01701,Beans; dry
1183,'02960.01,Beeswax
552,'01355.01,Blueberries
216,'01377,Brazil nuts; in shell
181,'01702,Broad beans and horse beans; dry
420,'01243,Broad beans and horse beans; green
89,'01192,Buckwheat
358,'01212,Cabbages
101,'01195,Canary seed
568,'01229,Cantaloupes and other melons
426,'01251,Carrots and turnips
217,'01372,Cashew nuts; in shell
591,'01359.02,Cashewapple
125,'01520.01,Cassava; fresh
265,'01447,Castor oil seeds
393,'01213,Cauliflowers and broccoli
108,'01199.90,Cereals n.e.c.
1717,'F1717,Cereals; primary
531,'01344.02,Cherries
220,'01373,Chestnuts; in shell
191,'01703,Chick peas; dry
459,'01691,Chicory roots
689,'01652,Chillies and peppers; dry (Capsicum spp.; Pimenta spp.); raw
401,'01231,Chillies and peppers; green (Capsicum spp. and Pimenta spp.)
693,'01655,Cinnamon and cinnamon-tree flowers; raw
698,'01656,Cloves (whole stems); raw
661,'01640,Cocoa beans
249,'01460,Coconuts; in shell
656,'01610,Coffee; green
195,'01706,Cow peas; dry
554,'01355.02,Cranberries
2041,'F2041,Crops
397,'01232,Cucumbers and gherkins
550,'01351.01,Currants
577,'01314,Dates
149,'01599.10,Edible roots and tubers with high starch or inulin content; n.e.c.; fresh
399,'01233,Eggplants (aubergines)
1091,'0232,Eggs from other birds in shell; fresh; n.e.c.
1753,'F1753,Fibre Crops Primary
569,'01315,Figs
773,'26190.01,Flax; processed but not spun
94,'01193,Fonio
2054,'F2054,Food
1163,'21170.02,Game meat; fresh; chilled or frozen
720,'01657,Ginger; raw
549,'01351.02,Gooseberries
560,'01330,Grapes
446,'01290.01,Green corn (maize)
406,'01252,Green garlic
242,'0142,Groundnuts; excluding shelled
225,'01374,Hazelnuts; in shell
336,'01449.02,Hempseed
1062,'0231,Hen eggs in shell; fresh
677,'01659,Hop cones
1120,'21118.01i,Horse meat; fresh or chilled (indigenous)
277,'01499.03,Jojoba seeds
780,'01922.01,Jute; raw or retted
310,'01499.05,Kapok fruit
263,'01499.01,Karite nuts (sheanuts)
782,'01922.02,Kenaf; and other textile bast fibres; raw or retted
592,'01352,Kiwi fruit
224,'01379.02,Kola nuts
407,'01254,Leeks and other alliaceous vegetables
497,'01322,Lemons and limes
201,'01704,Lentils; dry
372,'01214,Lettuce and chicory
333,'01441,Linseed
2044,'F2044,Livestock
461,'01356,Locust beans (carobs)
210,'01709.02,Lupins
56,'0112,Maize (corn)
571,'01316,Mangoes; guavas and mangosteens
671,'01630,Maté leaves
1770,'F1770,Meat indigenous; total
