VARIETY,alt_names,SPECIES,wiki_scraped Y/N,wiki_image,SCOVILLE ,HS Codified? Y/N,"HS ""Fresh Caps.""","HS ""Other Caps.""","HS ""Dry"" (whole)","HS ""Dried/Flaked""","HS ""Preserve""","HS ""Sauce/Condiment""",typical_reporterC,typical_products,related_varieties,country_cuisines,TRIVIA
Bell pepper (fresh),Paprika,C. annuum,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Green-Yellow-Red-Pepper-2009.jpg/250px-Green-Yellow-Red-Pepper-2009.jpg,$0$,0709.60.10 (Sweet),,,,,,,Global,,,"Bulgaria, Central Europe","LESS RELEVANT FOR US, BC IT'S NOT THE HOT VARIETY"
Cheyenne chili,"Cayenne, Chayenne (fresh fruit, =/= ""Cayenne powder"")",C. annuum,,,"$30,000 - 50,000$",0904.22.00 (Ground),,,,,,,French Guiana,,,French Guiana,"The ""workhorse"" of red chili flakes and powders."
Jalapeno (fresh),Jalapeño,C. annuum,,,"$2,500 - 8,000$",0709.60.91 (EU),,,,,,,Global,"pickles, preserves",,Mexico ,"Most common; ""Chipotle"" is just a smoked Jalapeño."
Jalapeno (preserved),Jalapeño,C. annuum,,,"$2,500 - 8,000$",200190 (Preserved),,,,,,,Global,"pickles, preserves",,Latin American / Western,Very common in DE & PL as pizza topping or pickled
Chipotle,"(=smoked, dry Jalapeno)",C. annuum,,,,,,,,,,,,"smoked, whole fruits",,,
Poblano,Ancho,C. annuum,,,"$1,000 - 2,000$",0904.21.10 (Dried),,,,,,,Mexico,,,Mexico / LatAm,"Called Poblano when fresh, Ancho when dried."
Aleppo pepper,"Aleppo Espelette, Pul biber",C. annuum,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Aleppopepper.jpg/250px-Aleppopepper.jpg,"$10,000$",090422 (Crushed),,,,,,,Turkiye,Flaked dry chili,,Turkish / Middle Eastern,
"Habanero (fresh, whole)",,C. chinense,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Habanero_closeup_edit2.jpg/250px-Habanero_closeup_edit2.jpg,"$100,000 - 350,000$",070960 (Fresh),,,,,,,Americas ,,,West African / Caribbean,Extremely high heat + floral/apricot notes.
Habanero (various),,C. chinense,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Habanero_closeup_edit2.jpg/250px-Habanero_closeup_edit2.jpg,"$100,000 - 350,000$",0709.60.99 (Other),,,,,,,Americas ,,,West African / Caribbean,Also used for industrial Capsaicin extracts
Scotch Bonnet,,C. chinense,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Scotch_bonnet_chili_pepper.jpg/250px-Scotch_bonnet_chili_pepper.jpg,"$100,000 - 350,000$",0709.60.99,,,,,,,Caribbean,,Habanero,Caribbean,"Essential for Jerk Chicken; ""squashed"" bonnet shape"
Bhut Jolokia,Ghost pepper,C. chinense,,,"$1,000,000+$",0709.60.99,,,,,,,India,Extreme heat novelty sauces,,"EAsian, Indian",First pepper to scientifically cross 1M SHU.
Aji Amarillo,,C. baccatum,,,"$30,000 - 50,000$",0709.60.99,,,,,,,Peru / Andes,,,Peru / Andes,Distinctive berry/raisin flavour; bright orange
Tabasco,,C. frutescens,,,"$30,000 - 50,000$",2103.90.90 (Sauce),,,,,,,Mexico / USA,,,Mexico / USA,"Classic Mexican staple for sauces; unique because its insides are juicy, not dry"
Rocoto / Manzano,,C. pubescens,,,"$30,000 - 100,000$",0709.60.99,,,,,,,Bolivia / Peru,,,Bolivia / Peru,Black seeds and hairy leaves; famously cold-hardy
Espelette ,"Basque pepper, Gorria, Piment d'Espelette",C. annuum,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/France-Piment_d%27Espelette-2005-08-05.jpg/250px-France-Piment_d%27Espelette-2005-08-05.jpg,,,0709.60.99,,0904.21.90,0904.22.00,,,,,,Basque/French,"The AOP protected Basque pepper, traditionally hung on houses; a C. annuum cultivar called Gorria"
Peperoncino,"Pfefferoni, Pepperoni, Pepperoncino",C. annuum,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Capsicum_-Chili_-_Peperoncino_-_Il_Viagra_Calabrese_-_Calabria_-_Italy_-_July_17th_2013_-_02.jpg/250px-Capsicum_-Chili_-_Peperoncino_-_Il_Viagra_Calabrese_-_Calabria_-_Italy_-_July_17th_2013_-_02.jpg,"$15,000−30,000$","0709.60.99, 0904.22.00","Italian (Calabria). Known as ""il viagra calabrese."" Essential for Pasta all'Arrabbiata.",,,,,,,2001.90 (In oil),,,
Baklouti,Harissa pepper,C. annuum,,,"$1,000−5,000$","0709.60.99, 0904.21.90",,,,,,,Tunisia,2103.90.90 (Harissa),,Maghreb,
Harissa paste,,--,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/%D9%87%D8%B1%D9%8A%D8%B3%D8%A9_%D8%AF%D9%8A%D8%A7%D8%B1%D9%8A.JPG/250px-%D9%87%D8%B1%D9%8A%D8%B3%D8%A9_%D8%AF%D9%8A%D8%A7%D8%B1%D9%8A.JPG,,,,,,,,,Tunisia,,,,The famous Harissa paste is often a mixture of Baklouti & Cheyenne peppers refined with vinegar and spices
Piripiri,"Piri Piri, African Red Devil",C. frutescens,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/African_red_devil_peppers.jpg/250px-African_red_devil_peppers.jpg,"$50,000−175,000$","0709.60.99, 0904.21.90","Portuguese / African. ""African Bird's Eye."" Found in Mozambique/Angola. Small, upright-growing pods.",,,,,,,2103.90.90 (Hot Sauce),,,
