VARIETY,alt_names,SPECIES,wiki_scraped Y/N,wiki_image,SCOVILLE ,HS Codified? Y/N,"HS ""Fresh Caps.""","HS ""Other Caps.""","HS ""Dry"" (whole)","HS ""Dried/Flaked""","HS ""Preserve""","HS ""Sauce/Condiment""",typical_reporterC,typical_products,related_varieties,country_cuisines,TRIVIA
Bell pepper ,Paprika,C. annuum,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Green-Yellow-Red-Pepper-2009.jpg/250px-Green-Yellow-Red-Pepper-2009.jpg,$0$,0709.60.10 (Sweet),,,,,,,Global,,,"Bulgaria, Central Europe","LESS RELEVANT FOR US, BC IT'S NOT THE HOT VARIETY"
Paprika Powder,"Paprika (Hungarian type), pimiento",Capsicum or Pimientum,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Piment%C3%B3n_Tap_de_Cort%C3%AD_%28cropped%29.jpg/250px-Piment%C3%B3n_Tap_de_Cort%C3%AD_%28cropped%29.jpg,,,,,,,,,,,,Hungary,
Cheyenne chili,"Cayenne, Chayenne (fruit, not = to ""Cayenne"" powder)",C. annuum,,,"$30,000 - 50,000$",0904.22.00 (Ground),,,,,,,French Guiana,,,French Guiana,"The ""workhorse"" of red chili flakes and powders."
Jalapeno,Jalapeño,C. annuum,,,"$2,500 - 8,000$",0709.60.91 (EU),,,,,,,Global,"pickles, preserves",,Mexico ,"Most common; ""Chipotle"" is just a smoked Jalapeño."
Chipotle,"(=smoked, dry Jalapeno)",C. annuum,,,,,,,,,,,,"smoked, whole fruits",,,
Poblano,Ancho,C. annuum,,,"$1,000 - 2,000$",0904.21.10 (Dried),,,,,,,Mexico,,,Mexico / Mole,"Called Poblano when fresh, Ancho when dried."
,,,,,,,,,,,,,,,,,
Habanero,,C. chinense,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Habanero_closeup_edit2.jpg/250px-Habanero_closeup_edit2.jpg,"$100,000 - 350,000$",0709.60.99 (Other),,,,,,,Americas ,,,"US, LatAm",Extremely high heat + floral/apricot notes.
Scotch Bonnet,,C. chinense,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Scotch_bonnet_chili_pepper.jpg/250px-Scotch_bonnet_chili_pepper.jpg,"$100,000 - 350,000$",0709.60.99,,,,,,,Caribbean,,Habanero,Caribbean,"Essential for Jerk Chicken; ""squashed"" bonnet shape."
Bhut Jolokia,Ghost pepper,C. chinense,,,"$1,000,000+$",0709.60.99,,,,,,,India,,,"EAsian, Indian",First pepper to scientifically cross 1M SHU.
,,,,,,,,,,,,,,,,,
Aji Amarillo,,C. baccatum,,,"$30,000 - 50,000$",0709.60.99,,,,,,,Peru / Andes,,,Peru / Andes,"Distinctive ""berry/raisin"" flavor; bright orange."
Tabasco,,C. frutescens,,,"$30,000 - 50,000$",2103.90.90 (Sauce),,,,,,,Mexico / USA,,,Mexico / USA,"Unique because the fruit is ""juicy"" inside, not dry."
Rocoto / Manzano,,C. pubescens,,,"$30,000 - 100,000$",0709.60.99,,,,,,,Bolivia / Peru,,,Bolivia / Peru,Black seeds and hairy leaves; very cold-hardy.
SORT SPECIES,,,,,,,,,,,,,,,,,
Espelette ,Basque pepper,Pimientum?,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/France-Piment_d%27Espelette-2005-08-05.jpg/250px-France-Piment_d%27Espelette-2005-08-05.jpg,,,,,,,,,,,,,
Aleppo pepper,Aleppo Espelette = Pul biber? ,,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Aleppopepper.jpg/250px-Aleppopepper.jpg,,,,,,,,,"Turkiye, MENA",Flaked dry chili,,Middle Eastern,
Shatta,,,,,,,,,,,,,,,,,
Peperoncino,"Pfefferoni, Pepperoni",,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Capsicum_-Chili_-_Peperoncino_-_Il_Viagra_Calabrese_-_Calabria_-_Italy_-_July_17th_2013_-_02.jpg/250px-Capsicum_-Chili_-_Peperoncino_-_Il_Viagra_Calabrese_-_Calabria_-_Italy_-_July_17th_2013_-_02.jpg,,,,,,,,,,,,"Italy, Central Europe",
Baklouti,Harissa chili,,,,,,,,,,,,Tunisia,,,Maghreb,
Piripiri,African Red Devil,,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/African_red_devil_peppers.jpg/250px-African_red_devil_peppers.jpg,,,,,,,,,,,,,
Padron,Pementos de Padron,,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pementos_de_Padron.jpg/250px-Pementos_de_Padron.jpg,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Harissa paste,(Baklouti & Cheyenne pepper mostly),,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/%D9%87%D8%B1%D9%8A%D8%B3%D8%A9_%D8%AF%D9%8A%D8%A7%D8%B1%D9%8A.JPG/250px-%D9%87%D8%B1%D9%8A%D8%B3%D8%A9_%D8%AF%D9%8A%D8%A7%D8%B1%D9%8A.JPG,,,,,,,,,,,,,
Cayenne,Cayenne powder,,,,,,,,,,,,,,,,"Catchall for various powdered vars, not always made of Cheyenne peppers"
