name,image
Habanero / Scotch Bonnet,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Habanero_closeup_edit2.jpg/250px-Habanero_closeup_edit2.jpg
Paprika / Bulgarian-type,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Green-Yellow-Red-Pepper-2009.jpg/250px-Green-Yellow-Red-Pepper-2009.jpg
Espelette / Basque pepper,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/France-Piment_d%27Espelette-2005-08-05.jpg/250px-France-Piment_d%27Espelette-2005-08-05.jpg
Paprika (Hungarian-type),https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Piment%C3%B3n_Tap_de_Cort%C3%AD_%28cropped%29.jpg/250px-Piment%C3%B3n_Tap_de_Cort%C3%AD_%28cropped%29.jpg
Shatta,
Italian peperoncino,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Capsicum_-Chili_-_Peperoncino_-_Il_Viagra_Calabrese_-_Calabria_-_Italy_-_July_17th_2013_-_02.jpg/250px-Capsicum_-Chili_-_Peperoncino_-_Il_Viagra_Calabrese_-_Calabria_-_Italy_-_July_17th_2013_-_02.jpg
Small hot peperoncini,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Capsicum_-Chili_-_Peperoncino_-_Il_Viagra_Calabrese_-_Calabria_-_Italy_-_July_17th_2013_-_02.jpg/250px-Capsicum_-Chili_-_Peperoncino_-_Il_Viagra_Calabrese_-_Calabria_-_Italy_-_July_17th_2013_-_02.jpg
Harissa-specific varieties,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/%D9%87%D8%B1%D9%8A%D8%B3%D8%A9_%D8%AF%D9%8A%D8%A7%D8%B1%D9%8A.JPG/250px-%D9%87%D8%B1%D9%8A%D8%B3%D8%A9_%D8%AF%D9%8A%D8%A7%D8%B1%D9%8A.JPG
Piri Piri,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/African_red_devil_peppers.jpg/250px-African_red_devil_peppers.jpg
Padron,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pementos_de_Padron.jpg/250px-Pementos_de_Padron.jpg
Espelette / Aleppo-like,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Aleppopepper.jpg/250px-Aleppopepper.jpg
Scotch Bonnet (Caribbean market),https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Scotch_bonnet_chili_pepper.jpg/250px-Scotch_bonnet_chili_pepper.jpg
